Truth,Decoded
set white in b two now,lay e i bin one
set white in o zero now,lay e in bin now
lay white by l eight please,lay e i bin one
lay red in k two now,lay e i bin one
bin red in l nine soon,lay e i bin one
place blue in b nine again,lay e i bin one
lay green at s two now,lay e i bin one
lay blue in x five soon,lay e i bin one
lay blue by r zero please,lay e in bin now
bin white by t seven soon,lay e i bin one
lay green with g two now,lay e i bin one
bin red by m seven soon,lay e i bin one
lay red in d nine soon,lay e i bin one
place red at j three again,lay e i bin one
bin red with t six please,lay e i bin one
lay green in f one soon,lay e i bin one
lay white at z one soon,lay e i bin one
set white in h six now,lay e i bin one
lay green at f five soon,lay e i bin one
set blue in t three soon,lay e i bin one
set green at p two please,lay e i bin one
place red with x seven soon,lay e i bin one
set white by v five again,lay e i bin one
set white in o three again,lay e i bin one
bin green at h zero now,lay e i bin one
bin green by o zero please,lay e in bin now
set green in i two now,lay e i bin one
lay white with m two please,lay e i bin one
lay blue by e three again,lay e i bin one
place red by j five soon,lay e i bin one
set green with x four please,lay e i bin one
set blue in g six please,lay e i bin one
bin white by n five again,lay e in bin now
set green with d zero now,lay e i bin one
place white in j two now,lay e i bin one
bin blue in l two now,lay e i bin one
place blue by p three soon,lay e i bin one
place white by x eight now,lay e i bin one
place white with e three again,lay e i bin one
bin white in t zero please,lay e in bin one
place green by r one soon,lay e i bin one
lay blue with y six now,lay e i bin one
bin red with n zero now,lay e i bin one
set red at o zero please,lay e i bin one
place white at j seven soon,lay e i bin one
set green in b eight now,lay e i bin one
bin green in g six now,lay e i bin one
lay white in y six now,lay e i bin one
set white at v zero please,lay e i bin one
set white by o eight now,lay e i bin one
